21:37:39: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry_worker.py | telemetry_worker | 46] Logger initialized
21:37:39: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
21:37:40: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
21:37:40: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
21:37:41: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
21:37:41: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
21:37:42: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
21:37:42: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
21:37:43: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
21:37:43: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
21:37:44: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
21:37:45: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 131] No new telemetry data generated.
21:37:46: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 131] No new telemetry data generated.
21:37:47: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 131] No new telemetry data generated.
21:37:47: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
21:37:48: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
21:37:48: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
21:37:49: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
21:37:49: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
21:37:50: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
21:37:50: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
21:37:51: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
21:37:51: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
21:37:52: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 134] New telemetry data generated.
21:37:53: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/modules/telemetry/telemetry.py | run_receive_telemetry | 131] No new telemetry data generated.
