22:27:23: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | put_queue | 105] Added telemetry data to queue
22:27:23: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 84] CHANGE_ALTITUDE: 6
22:27:24: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | put_queue | 105] Added telemetry data to queue
22:27:24: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 84] CHANGE_ALTITUDE: 5
22:27:25: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | put_queue | 105] Added telemetry data to queue
22:27:25: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 84] CHANGE_ALTITUDE: 4
22:27:25: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | put_queue | 105] Added telemetry data to queue
22:27:25: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 84] CHANGE_ALTITUDE: 3
22:27:26: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | put_queue | 105] Added telemetry data to queue
22:27:26: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 84] CHANGE_ALTITUDE: 2
22:27:26: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | put_queue | 105] Added telemetry data to queue
22:27:26: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 84] CHANGE_ALTITUDE: 10
22:27:27: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | put_queue | 105] Added telemetry data to queue
22:27:27: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 84] CHANGE_ALTITUDE: 11
22:27:27: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | put_queue | 105] Added telemetry data to queue
22:27:27: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 84] CHANGE_ALTITUDE: 12
22:27:29: [INFO] [/Users/anahatchhatwal/Documents/WARG/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | stop | 68] Workers stopped
